time,lwp,iwp,rliq,rice,red_chi_2,fluxes_rrtm,fluxes_ftir
2017-06-11 10:05:00,128.0203531313074,210.74838617616263,23.737973938134928,37.14302167202663,8.067168910694807,177.1644,179.08066536568776
2017-06-11 10:06:00,87.8409747366733,88.80204833585411,16.869201828591898,14.793119875276194,12.133526060126702,177.16490000000002,179.46303107068118
2017-06-11 10:07:00,87.8409747366733,88.80204833585411,16.869201828591898,14.793119875276194,12.133526060126702,0.0,0.0
2017-06-11 10:08:00,18.934288502583165,43.52237665690078,7.983266107563491,19.980143955488632,3.1928875514645987,177.02729999999997,176.54531244646452
2017-06-11 10:10:00,18.934288502583165,43.52237665690078,7.983266107563491,19.980143955488632,3.1928875514645987,0.0,0.0
2017-06-11 10:12:00,18.934288502583165,43.52237665690078,7.983266107563491,19.980143955488632,3.1928875514645987,0.0,0.0
2017-06-11 10:13:00,18.52907856998962,67.90615615400013,8.177612579618085,35.402537728362404,3.2917555574318222,176.9805,175.72552090023356
2017-06-11 10:14:00,13.212233925553534,48.894925088096294,9.14834584154173,35.647289834109166,2.474406602720827,176.3172,170.26770269723062
2017-06-11 10:15:00,20.836330823671254,48.0212850900664,8.86637257826874,16.207716995021144,3.5322192221747395,177.1163,177.5658866928888
2017-06-11 10:16:00,20.836330823671254,48.0212850900664,8.86637257826874,16.207716995021144,3.5322192221747395,0.0,0.0
2017-06-11 10:17:00,20.836330823671254,48.0212850900664,8.86637257826874,16.207716995021144,3.5322192221747395,0.0,0.0
2017-06-11 10:18:00,81.03755691403705,105.88285379206418,15.692852891808625,18.686311921266906,8.846938985277202,177.18710000000002,179.51880321576323
2017-06-11 10:20:00,79.87930827031025,107.10268832420479,17.012380897436735,19.68082129107208,6.214311994276657,177.187,178.79542655447463
2017-06-11 10:21:00,111.08232191354497,103.2029273028284,20.653388895963925,16.852864169618567,13.645393849000559,177.1961,179.77562159896496
2017-06-11 10:43:00,49.76912853740035,64.35243588920412,16.14525905158174,21.534531155352006,1.3913119458330574,177.2094,177.26414103084673
2017-06-11 10:44:00,25.4493039937233,108.4902864889831,13.086392972012558,39.860956022357435,1.3976553377138414,176.2269,175.80389195579522
2017-06-11 10:45:00,30.21638097225366,102.10724203895029,16.01926472713179,35.977908052264034,1.3298646832063834,176.2344,175.60966551647442
2017-06-11 10:46:00,14.519380961796532,120.97407044184766,12.953336056296779,54.100938029702526,1.3104097852051355,176.0872,172.6168791231264
2017-06-11 10:47:00,22.717918573376043,110.72502807116756,12.789529365906091,42.16378992263918,0.4390759799771408,177.1567,176.09687235383072
2017-06-11 10:49:00,22.889740109430292,104.66652291769064,11.88813786128224,37.669819428448825,0.8290508033022613,177.1724,175.58085499067678
2017-06-11 10:50:00,17.841608966881804,84.13218904681658,11.228891136157175,42.87422902320019,1.0166739352340537,177.00560000000002,173.2722299681992
2017-06-11 10:52:00,18.872809131462663,92.06153396476313,11.66322251275687,39.93028075868452,0.9039238427620852,177.10279999999997,175.18169572724796
2017-06-11 10:54:00,24.373745125082635,105.7846430470758,13.925677446326567,44.780744686153945,0.3128685536922548,177.14130000000003,174.38797019742998
2017-06-11 10:55:00,18.330021095087663,53.95042516404594,14.156399271643503,41.37909217492893,1.0973095189911932,175.4107,168.46851814560821
2017-06-11 10:56:00,19.239318096896174,48.97374196639089,13.405171526434719,41.74856136122284,0.9841680158836595,175.299,168.1997567283481
2017-06-11 10:57:00,16.5727863215855,71.4561248120558,11.882403836576987,41.58101749794584,0.8253725804242676,175.91009999999997,171.0187126437782
2017-06-11 10:58:00,8.06153035622263,27.973064472323063,11.963549212437584,40.29222871848132,0.4081845287831049,170.31829999999997,152.5429276284936
2017-06-11 10:59:00,1.4205593446548401,20.58673779383438,8.139142943352223,36.61020934367829,0.4525671319210486,159.27409999999998,134.0915674604764
2017-06-11 11:01:00,12.661090551345827,13.045642475364724,16.110362819213837,41.166663620507336,0.33947122100037197,164.7794,145.97480777454666
2017-06-11 11:02:00,5.675006654502686,21.597713065813252,13.986890035685178,37.9365466177427,0.49454191300250205,164.2615,142.32131454668263
2017-06-11 11:03:00,0.22511162979099741,5.921930444144559,5.988137124605846,25.98766360695631,0.2302231608036975,135.50169999999997,114.5873263837602
2017-06-11 11:04:00,1.676261346352311,8.987958821570814,9.927052352397803,26.044488817213995,0.30968858258534226,149.2574,126.58292388406879
2017-06-11 11:05:00,0.46484894259470955,7.098243627052017,5.036939626005312,23.891144510156657,0.29755847293804777,142.9792,119.69063956378032
2017-06-11 11:28:00,70.60259844983001,80.71475131678663,15.852824073364632,16.02283381481508,3.6692669118100487,177.3858,184.85200315613432
2017-06-11 11:30:00,26.67116390633223,60.6449514719053,8.665194128192972,18.32072578976987,1.8487902838885963,177.3593,183.44435357588287
2017-06-11 11:31:00,23.799373182464375,72.68704556593292,10.26543571429605,23.789238045431283,1.2225306522555166,177.3473,182.51509752999974
2017-06-11 11:32:00,21.452412084455904,88.39686720612494,6.066430017501499,22.91979659639803,2.574149290299947,177.3773,184.59701867018086
2017-06-11 11:33:00,27.187014048567242,102.37727685885775,12.367533859881114,35.875812949108024,1.4163091901812348,177.34539999999998,184.92112998705318
2017-06-11 11:34:00,16.28935758464869,95.85095854725787,13.355929808316473,46.46439871654187,1.3993319402414108,177.1468,180.5533172011086
2017-06-11 11:36:00,17.715795368177904,104.07238731249126,12.893429555494382,47.49148228902306,1.5390190620050497,177.22570000000002,181.47358355683608
2017-06-11 11:38:00,18.694786508235854,90.46349764304834,13.006622261238883,38.230174392648685,1.391021337166651,177.27759999999998,181.3979675801456
